title,bert-base-uncased,roberta-large,microsoft/deberta-large,facebook/bart-large,xlnet-large-cased,google/electra-large-discriminator,albert-large-v2,Average
Exotica,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571
Ed Wood,0.5714285714285714,0.0,0.0,0.0,0.0,0.03571428571428571,0.10714285714285714,0.1020408163265306
Forget Paris,0.5714285714285714,0.0,0.0,0.0,0.0,0.07142857142857142,0.14285714285714285,0.11224489795918366
Hideaway,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.030612244897959183
Heavenly Creatures,0.10714285714285714,0.0,0.0,0.10714285714285714,0.03571428571428571,0.5,0.0,0.10714285714285714
Houseguest,0.39285714285714285,0.0,0.0,0.0,0.0,0.03571428571428571,0.21428571428571427,0.09183673469387754
Immortal Beloved,0.39285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.05612244897959184
I.Q.,0.5357142857142857,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.09693877551020409
Junior,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,0.04591836734693877
Just Cause,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.015306122448979591
Kiss of Death,0.32142857142857145,0.4642857142857143,0.0,0.75,0.03571428571428571,0.39285714285714285,0.17857142857142858,0.30612244897959184
Little Women,0.32142857142857145,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.05102040816326531
Love Affair,0.32142857142857145,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.05102040816326531
Man of the House,0.5714285714285714,0.0,0.0,0.0,0.0,0.03571428571428571,0.10714285714285714,0.1020408163265306
Milk Money,0.7857142857142857,0.0,0.0,0.0,0.0,0.03571428571428571,0.14285714285714285,0.1377551020408163
My Family,0.6428571428571429,0.0,0.0,0.0,0.03571428571428571,0.0,0.07142857142857142,0.10714285714285714
Nobody's Fool,0.7142857142857143,0.0,0.0,0.0,0.0,0.03571428571428571,0.14285714285714285,0.12755102040816327
Natural Born Killers,0.6071428571428571,0.7857142857142857,0.8928571428571429,0.8571428571428571,0.0,0.32142857142857145,0.0,0.49489795918367346
Only You,0.25,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.05612244897959184
